name,repo_name
HLSL,Microsoft/vscode
HCL,grafana/grafana
Groovy,Microsoft/vscode
Groff,letsencrypt/letsencrypt
Graphviz (DOT),mosterta/xbmc
Grammatical Framework,mfem/mfem
Grace,blackducksoftware/ohcount
Gosu,ervandew/eclim
Golo,remotemethod/hello-world
Go,tensorflow/tensorflow
Gnuplot,tsenart/vegeta
Gleam,AlDanial/cloc
Gherkin,jekyll/jekyll
Gettext Catalog,danakj/openbox
Genshi,cloudera/hue
Genie,mesonbuild/meson
Game Maker Language,ghcjs/ghcjs
GSC,libretro/RetroArch
GLSL,BradLarson/GPUImage2
GDScript,godotengine/godot
GDB,mathiasbynens/dotfiles
GCC Machine Description,facebook/AsyncDisplayKit
GAP,godotengine/godot
GAMS,iiasa/gams_stub
GAML,gama-platform/gama
G-code,cloudera/hue
Futhark,AlDanial/cloc
Frege,Frege/frege-lein-plugin
FreeMarker,spring-projects/spring-framework
FreeBasic,universal-ctags/ctags
Fortran,golang/go
Forth,AlDanial/cloc
Fluent,OpenRA/OpenRA
Filebench WML,sergeykhbr/riscv_vhdl
Fennel,AlDanial/cloc
Faust,csound/csound
Fantom,tcolar/goed
Fancy,universal-ctags/ctags
Factor,factor/factor
FORTRAN,mingchuno/ABCDEFGHPPP
FLUX,influxdata/influxdb
F*,FStarLang/FStar
F#,Microsoft/vscode
Euphoria,phoenixframework/phoenix
Erlang,VundleVim/Vundle.vim
EmberScript,diydrones/ardupilot
Emacs Lisp,apple/swift
Elvish,direnv/direnv
Elm,evancz/elm-architecture-tutorial
Elixir,phoenixframework/phoenix
Eiffel,AlDanial/cloc
Ecl,mollstam/UnrealPy
Earthly,jekyll/jekyll
Eagle,r-lyeh/scriptorium
EQ,openforis/sepal
EJS,atom/atom
ECL,pfsense/pfsense
E,universal-ctags/ctags
Dylan,LeeBamberTGC/Dark-Basic-Pro
Dogescript,dogescript/dogescript
Dockerfile,tensorflow/tensorflow
Diff,r3gis3r/CSipSimple
Dhall,AlDanial/cloc
DenizenScript,AlDanial/cloc
Delphi,yahoo/KeyKey
Dart,google/flatbuffers
DTrace,apple/swift
DOT,schacon/git-scribe
DM,tgstation/-tg-station
DIGITAL Command Language,letsencrypt/letsencrypt
DCPU-16 ASM,fogleman/DCPU-16
D,apple/swift
Cython,tensorflow/tensorflow
Cypher,neo4j-contrib/neo4j-apoc-procedures
Cycript,DavidGoldman/InspectiveC
Cuda,amznlabs/amazon-dsstne
Cucumber,openblockchain/obc-peer
Csound Score,MTG/essentia
Csound Document,csound/csound
Csound,csound/csound
Crystal,sdogruyol/kemal
Coq,CIDARLAB/cello
Cool,llvm-mirror/clang
Component Pascal,ge-ne/bibtool
Common Workflow Language,flycheck/flycheck
Common Lisp,facebook/infer
ColdFusion,danielmiessler/SecLists
CoffeeScript,facebook/react
CodeQL,drolbr/Overpass-API
Closure Templates,cloudera/hue
Clojure,Microsoft/vscode
Click,cnplab/clickos
Clean,AlDanial/cloc
Classic ASP,danielmiessler/SecLists
Clarion,Croteam-official/Serious-Engine
Cirru,cloudera/hue
ChucK,fiebrink1/wekinator_examples
Charity,eske/multivec
Chapel,AlDanial/cloc
Ceylon,ceylon/ceylon
CartoCSS,spatialdev/PGRestAPI
